,Movie_title,avg_rating,release_year,rating_num
520,Terminator 2: Judgment Day,8.5,1991,1400
521,Cinema Paradiso,8.5,1988,578
522,Grave of the Fireflies,8.5,1988,902
523,Back to the Future,8.5,1985,1300
524,Once Upon a Time in the West,8.5,1968,797
525,Rear Window,8.5,1954,954
526,Casablanca,8.5,1942,1400
527,Modern Times,8.5,1936,341
528,City Lights,8.5,1931,327
529,Hamilton,8.4,2020,688
530,Capernaum,8.4,2018,453
531,Your Name.,8.4,2016,935
532,Dangal,8.4,2016,447
533,Spider-Man: Into the Spider-Verse,8.4,2018,2100
534,Avengers: Infinity War,8.4,2018,4500
535,Coco,8.4,2017,1300
536,Django Unchained,8.4,2012,1700
537,The Dark Knight Rises,8.4,2012,3600
538,3 Idiots,8.4,2009,870
539,Like Stars on Earth,8.4,2007,440
540,WALL·E,8.4,2008,1400
541,The Lives of Others,8.4,2006,549
542,Oldboy,8.4,2003,1100
543,Memento,8.4,2000,2400
544,Princess Mononoke,8.4,1997,776
545,Indiana Jones and the Raiders of the Lost Ark,8.4,1981,1000
546,The Shining,8.4,1980,2000
547,Apocalypse Now,8.4,1979,1300
548,Alien,8.4,1979,1600
549,High and Low,8.4,1963,146
550,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.4,1964,1000
551,Witness for the Prosecution,8.4,1957,313
552,Paths of Glory,8.4,1957,482
553,Pather Panchali,8.4,1955,175
554,Sunset Blvd.,8.4,1950,673
555,The Great Dictator,8.4,1940,312
556,1917,8.3,2019,3300
557,Drishyam,8.3,2013,136
558,A Separation,8.3,2011,418
559,Incendies,8.3,2010,306
560,Hotel Rwanda,8.1,2004,700
561,Scarface,8.3,1983,1100
562,Million Dollar Baby,8.1,2004,1300
563,Catch Me If You Can,8.1,2002,954
564,Chinatown,8.2,1974,589
565,Braveheart,8.3,1995,1300
566,Good Will Hunting,8.3,1997,991
567,Gran Torino,8.1,2008,1000
568,American Beauty,8.3,1999,2900
569,A Beautiful Mind,8.2,2001,1300
570,The Sixth Sense,8.1,1999,2300
571,There Will Be Blood,8.2,2007,1400
572,Fargo,8.1,1996,1000
573,Reservoir Dogs,8.3,1992,1200
574,Taxi Driver,8.2,1976,1300
575,No Country for Old Men,8.1,2007,2000
576,Inglourious Basterds,8.3,2009,2000
577,Once Upon a Time in America,8.3,1984,778
578,Aliens,8.3,1986,1400
579,Star Wars: Episode VI - Return of the Jedi,8.3,1983,928
580,Amadeus,8.3,1984,692
581,Toy Story,8.3,1995,720
582,Requiem for a Dream,8.3,2000,2200
583,Vertigo,8.3,1958,989
584,2001: A Space Odyssey,8.3,1968,2300
585,The Kid,8.3,1921,228
586,Ford v Ferrari,8.1,2019,1500
587,Eternal Sunshine of the Spotless Mind,8.3,2004,1900
588,Citizen Kane,8.3,1941,1500
589,North by Northwest,8.3,1959,690
590,Singin' in the Rain,8.3,1952,764
591,Full Metal Jacket,8.3,1987,924
592,A Clockwork Orange,8.3,1971,1600
593,Snatch,8.2,2000,911
594,Lawrence of Arabia,8.3,1962,734
595,The Sting,8.3,1973,336
596,Double Indemnity,8.3,1944,447
597,Toy Story 3,8.2,2010,949
598,The Apartment,8.3,1960,388
599,To Kill a Mockingbird,8.2,1962,595
600,Indiana Jones and the Last Crusade,8.2,1989,647
601,Up,8.2,2009,1000
602,Monty Python and the Holy Grail,8.2,1975,822
603,L.A. Confidential,8.2,1997,783
604,Heat,8.2,1995,1200
605,Green Book,8.2,2018,1700
606,Batman Begins,8.2,2005,3000
607,Die Hard,8.2,1988,1000
608,Unforgiven,8.2,1992,664
609,Some Like It Hot,8.2,1959,478
610,Judgment at Nuremberg,8.2,1961,243
611,The Father,8.3,2020,922
612,All About Eve,8.2,1950,408
613,The Treasure of the Sierra Madre,8.2,1948,307
614,The Wolf of Wall Street,8.2,2013,1700
615,The Great Escape,8.2,1963,414
616,Casino,8.2,1995,720
617,Klaus,8.2,2019,786
618,The Gold Rush,8.2,1925,216
619,Raging Bull,8.2,1980,651
620,Shutter Island,8.2,2010,1500
621,To Be or Not to Be,8.2,1942,155
622,Dial M for Murder,8.2,1954,403
623,"Lock, Stock and Two Smoking Barrels",8.2,1998,630
624,The Elephant Man,8.1,1980,461
625,The Thing,8.1,1982,1200
626,"Three Billboards Outside Ebbing, Missouri",8.1,2017,1300
627,The Third Man,8.1,1949,506
628,The Bridge on the River Kwai,8.1,1957,368
629,Jurassic Park,8.1,1993,1300
630,V for Vendetta,8.1,2005,2300
631,The Truman Show,8.1,1998,1300
632,Gone with the Wind,8.1,1939,955
633,Warrior,8.1,2011,774
634,Blade Runner,8.1,1982,1600
635,On the Waterfront,8.1,1954,374
636,Trainspotting,8.1,1996,671
637,The General,8.1,1926,324
638,Inside Out,8.1,2015,1100
639,Finding Nemo,8.1,2003,1000
640,Kill Bill: Vol. 1,8.1,2003,2400
641,Mr. Smith Goes to Washington,8.1,1939,332
642,Mary and Max,8.1,2009,256
643,Prisoners,8.1,2013,1100
644,Barry Lyndon,8.1,1975,514
645,The Deer Hunter,8.1,1978,1100
646,Before Sunrise,8.1,1995,567
647,The Grand Budapest Hotel,8.1,2014,1000
648,In the Name of the Father,8.1,1993,213
649,Hacksaw Ridge,8.1,2016,1000
650,Room,8.1,2015,773
651,Gone Girl,8.1,2014,1600
652,Harry Potter and the Deathly Hallows: Part 2,8.1,2011,1000
653,12 Years a Slave,8.1,2013,947
654,Ben-Hur,8.1,1959,482
655,Dead Poets Society,8.1,1989,729
656,The Big Lebowski,8.1,1998,1300
657,How to Train Your Dragon,8.1,2010,690
658,Hachi: A Dog's Tale,8.1,2009,588
659,Network,8.1,1976,424
660,Mad Max: Fury Road,8.1,2015,2200
661,Cool Hand Luke,8.1,1967,378
662,Logan,8.1,2017,1700
663,Stand by Me,8.1,1986,764
664,Rebecca,8.1,1940,382
665,It Happened One Night,8.1,1934,331
666,Platoon,8.1,1986,656
667,Spotlight,8.1,2015,679
668,"Monsters, Inc.",8.1,2001,760
669,Life of Brian,8.1,1979,436
670,Rush,8.1,2013,636
671,Into the Wild,8.1,2007,1000
672,Before Sunset,8.1,2004,581
673,Amélie,8.3,2001,1500
674,In the Mood for Love,8.1,2000,468
675,Das Boot,8.3,1981,552
676,M,8.3,1931,400
